Found new layout. Num iterations: 12147002, Best results size: 12
Found new layout. Num iterations: 12182191, Best results size: 11
Found new layout. Num iterations: 12182198, Best results size: 12
Found new layout. Num iterations: 12182205, Best results size: 11
Found new layout. Num iterations: 12182213, Best results size: 12
Found new layout. Num iterations: 12182220, Best results size: 13
Found new layout. Num iterations: 12182228, Best results size: 14
Found new layout. Num iterations: 12182317, Best results size: 15
Found new layout. Num iterations: 12182663, Best results size: 16
Found new layout. Num iterations: 12182755, Best results size: 17
Found new layout. Num iterations: 12183115, Best results size: 16
Found new layout. Num iterations: 12183131, Best results size: 17
Found new layout. Num iterations: 12184200, Best results size: 17
Found new layout. Num iterations: 12184208, Best results size: 18
Found new layout. Num iterations: 12184440, Best results size: 10
Found new layout. Num iterations: 12184447, Best results size: 11
Found new layout. Num iterations: 12184454, Best results size: 10
Found new layout. Num iterations: 12184490, Best results size: 11
Found new layout. Num iterations: 12184524, Best results size: 12
Found new layout. Num iterations: 12184531, Best results size: 12
Found new layout. Num iterations: 12184539, Best results size: 13
Found new layout. Num iterations: 12184791, Best results size: 14
Found new layout. Num iterations: 12184830, Best results size: 15
Found new layout. Num iterations: 12185052, Best results size: 15
Found new layout. Num iterations: 12185059, Best results size: 11
Found new layout. Num iterations: 12185066, Best results size: 10
Found new layout. Num iterations: 12185098, Best results size: 11
Found new layout. Num iterations: 12185105, Best results size: 12
Found new layout. Num iterations: 12185141, Best results size: 13
Found new layout. Num iterations: 12185148, Best results size: 13
Found new layout. Num iterations: 12185156, Best results size: 14
Found new layout. Num iterations: 12185379, Best results size: 15
Found new layout. Num iterations: 12185407, Best results size: 15
Found new layout. Num iterations: 12185414, Best results size: 16
Found new layout. Num iterations: 12185422, Best results size: 17
Found new layout. Num iterations: 12185450, Best results size: 18
Found new layout. Num iterations: 12185484, Best results size: 19
Found new layout. Num iterations: 12185685, Best results size: 20
Found new layout. Num iterations: 12185692, Best results size: 16
Found new layout. Num iterations: 12185699, Best results size: 17
Found new layout. Num iterations: 12185734, Best results size: 18
Found new layout. Num iterations: 12185766, Best results size: 19
Found new layout. Num iterations: 12185773, Best results size: 20
Found new layout. Num iterations: 12185935, Best results size: 21
Found new layout. Num iterations: 12185948, Best results size: 22
Found new layout. Num iterations: 12186834, Best results size: 22
Found new layout. Num iterations: 12186904, Best results size: 22
Found new layout. Num iterations: 12192950, Best results size: 22
Found new layout. Num iterations: 12332519, Best results size: 21
Found new layout. Num iterations: 12332526, Best results size: 22
Found new layout. Num iterations: 12332545, Best results size: 22
Found new layout. Num iterations: 12332565, Best results size: 23
